State/Union Territory,1993-94,1999-00,2004-05,2009-10,2011-12,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24
Andhra Pradesh,4,8,7,12,12,36,45,39,33,35,33,34
Arunachal Pradesh,10,5,9,13,17,53,73,63,48,69,39,50
Assam,52,39,26,39,45,83,63,78,36,32,15,35
Bihar,16,18,15,20,32,70,102,48,42,55,36,26
Chhattisgarh,.,.,6,6,8,25,18,23,18,16,15,15
Delhi,-,47,19,17,78,35,5,20,58,39,102,60
Goa,90,93,111,47,51,139,80,76,100,125,113,89
Gujarat,9,4,5,8,3,52,33,14,8,15,14,4
Haryana,11,8,22,18,24,93,95,65,54,90,58,31
Himachal Pradesh,5,12,18,16,10,52,48,34,30,36,35,50
Jammu & Kashmir,7,11,15,25,25,42,39,52,43,37,34,50
Jharkhand,.,.,14,39,21,71,45,30,18,12,9,5
Karnataka,7,7,7,5,9,39,27,27,22,23,15,19
Kerala,69,82,107,75,68,100,84,97,89,90,65,76
Madhya Pradesh,5,5,5,7,4,36,24,17,11,13,8,5
Maharashtra,8,14,10,6,7,33,42,25,22,25,22,22
Manipur,10,19,11,38,26,116,98,95,38,95,45,55
Meghalaya,2,4,3,4,4,6,20,11,7,15,50,51
Mizoram,10,9,3,13,18,65,52,42,27,40,12,13
Nagaland,14,24,18,106,151,216,162,258,178,75,29,57
Odisha,14,19,50,30,22,69,61,61,50,54,36,26
Punjab,13,18,38,26,19,78,77,72,62,66,62,54
Rajasthan,3,4,7,4,7,45,46,32,36,29,34,32
Sikkim,7,28,24,43,10,27,25,20,5,13,22,22
Tamil Nadu,13,20,12,15,20,79,64,50,48,42,38,31
Telangana,.,.,.,.,.,65,68,52,34,31,28,35
Tripura,23,12,133,92,105,63,93,28,29,31,11,14
Uttarakhand,.,.,13,16,25,69,72,65,55,70,39,39
Uttar Pradesh,7,8,6,10,9,55,43,32,32,21,16,22
West Bengal,18,28,25,19,27,38,35,44,32,31,15,23
Andaman and Nicobar Islands,21,34,62,80,54,147,146,127,79,59,66,106
Chandigarh,29,7,26,247,-,35,16,99,15,50,32,-
Dadra & Nagar Haveli,8,10,33,48,-,7,11,10,52*,57*,41*,23*
Daman & Diu,12,10,3,40,-,62,0,32,.,.,.,.
Ladakh,.,.,.,.,.,.,.,0,19,27,57,39
Lakshadweep,169,194,75,97,160,133,400,107,32,66,56,83
Puducherry,24,40,70,30,8,104,116,76,60,75,59,19
ALL INDIA,12,15,17,16,17,53,50,40,33,33,24,25